rel_paths	fnames	last_mc	last_mn	KeySig	TimeSig	label_count	harmony_version	annotated_key	annotators	reviewers	composer	workTitle	movementNumber	movementTitle	workNumber	poet	lyricist	arranger	copyright	creationDate	mscVersion	platform	source	translator	musescore	ambitus	composed_end	composed_start	originalFormat	pdf	score integrity	staff_1_ambitus	staff_1_instrument	staff_2_ambitus	staff_2_instrument
MS3	op37a01	103	103	1: 3, 29: 1, 63: 3	1: 3/4	313	2.3.0	A	Adrian Nagel (2.1.1), John Heilig (2.3.0)	Johannes Hentschel, AN	P. Tchaikovsky	January								2018-11-29	3.02	Linux	http://musescore.com/user/12839876/scores/3444321		3.6.2	33-88 (A1-E6)	1876	1876	mxl	https://imslp.org/wiki/Special:ReverseLookup/19125	Tom Schreyer	53-88 (E#3-E6)	Piano	33-88 (A1-E6)	Piano
MS3	op37a02	169	169	1: 2	1: 2/4	278	2.3.0	D	Adrian Nagel (2.1.0), John Heilig (2.3.0)	Johannes Hentschel, AN		February								2018-11-29	3.02	Linux	http://musescore.com/user/12839876/scores/3448281		3.6.2	29-93 (F1-A6)	1876	1876	mxl	https://imslp.org/wiki/Special:ReverseLookup/19125	Tom Schreyer	43-93 (G2-A6)	Piano	29-85 (F1-C#6)	Piano
MS3	op37a03	46	46	1: -2	1: 2/4	119	2.3.0	g	Adrian Nagel (2.1.1), John Heilig (2.3.0)	Johannes Hentschel, AN		March								2018-11-29	3.02	Linux	http://musescore.com/user/12839876/scores/3462386		3.6.2	38-86 (D2-D6)	1876	1876	mxl	https://imslp.org/wiki/Special:ReverseLookup/19125	Tom Schreyer	55-86 (G3-D6)	Piano	38-72 (D2-C5)	Piano
MS3	op37a04	87	86	1: -2	1: 6/8	210	2.3.0	Bb	Adrian Nagel (2.1.1), John Heilig (2.3.0)	Johannes Hentschel, AN	Tchaikovsky Seasons No 4	No. 4								2018-11-29	3.02	Linux			3.6.2	39-86 (D#2-D6)	1876	1876	xml	https://imslp.org/wiki/Special:ReverseLookup/19125	Tom Schreyer	52-86 (E3-D6)	Piano (2)	39-77 (D#2-F5)	Piano (2)
MS3	op37a05	88	88	1: 1, 20: 2, 68: 1	1: 9/8, 20: 2/4, 68: 9/8	193	2.3.0	G	Adrian Nagel (2.1.1), John Heilig (2.3.0)	Johannes Hentschel, AN	Tchaikovsky Seasons No. 5	No. 5								2018-11-29	3.02	Linux			3.6.2	40-86 (E2-D6)	1876	1876	xml	https://imslp.org/wiki/Special:ReverseLookup/19125	Tom Schreyer	48-86 (C3-D6)	Piano (2)	40-74 (E2-D5)	Piano (2)
MS3	op37a06	99	99	1: -2, 32: 1, 52: -2	1: 4/4, 40: 3/4, 52: 4/4	263	2.3.0	g	Adrian Nagel (2.1.1), John Heilig (2.3.0)	Johannes Hentschel, AN	Pyotr Ilyich Tchaikovsky	The Seasons			Op. 37a					2018-11-29	3.02	Linux	http://musescore.com/user/5891891/scores/3057501		3.6.2	31-91 (G1-G6)	1876	1876	mxl	https://imslp.org/wiki/Special:ReverseLookup/19125	Tom Schreyer	42-91 (F#2-G6)	Piano	31-88 (G1-E6)	Piano
MS3	op37a07	56	56	1: -3	1: 4/4	179	2.3.0	Eb	Adrian Nagel (2.1.1), John Heilig (2.3.0)	Johannes Hentschel, AN	Tchaikovsky Seasons No.7	No. 7								2018-11-29	3.02	Linux			3.6.2	34-89 (Bb1-F6)	1876	1876	xml	https://imslp.org/wiki/Special:ReverseLookup/19125	Tom Schreyer	46-89 (Bb2-F6)	Piano (2)	34-77 (Bb1-F5)	Piano (2)
MS3	op37a08	199	198	1: 2	1: 6/8	514	2.3.0	b	Adrian Nagel (2.1.1), John Heilig (2.3.0)	Johannes Hentschel, AN	Tchaikovsky Seasons No.8	No. 8								2018-11-29	3.02	Linux			3.6.2	35-91 (B1-G6)	1876	1876	xml	https://imslp.org/wiki/Special:ReverseLookup/19125	Tom Schreyer	43-91 (G2-G6)	Piano (2)	35-83 (B1-B5)	Piano (2)
MS3	op37a09	90	90	1: 1	1: 4/4	368	2.3.0	G	Adrian Nagel (2.1.1), John Heilig (2.3.0)	Johannes Hentschel, AN	Tchaikovsky Seasons No.9	No. 9								2018-11-29	3.02	Linux			3.6.2	36-91 (C2-G6)	1876	1876	xml	https://imslp.org/wiki/Special:ReverseLookup/19125	Tom Schreyer	54-91 (F#3-G6)	Piano (2)	36-71 (C2-B4)	Piano (2)
MS3	op37a10	56	56	1: -1	1: 4/4	189	2.1.1	d	Adrian Nagel	Johannes Hentschel	Pyotr Ilyich Tchaikovsky	October								2018-11-28	3.02	Microsoft Windows	http://musescore.com/user/20994881/scores/5333841		3.6.2	37-82 (C#2-Bb5)	1876	1876		https://imslp.org/wiki/Special:ReverseLookup/19125	Tom Schreyer	53-82 (F3-Bb5)	Piano	37-67 (C#2-G4)	Piano
MS3	op37a11	83	83	1: 4, 28: 1, 51: 4	1: 4/4	168	2.3.0	E	Adrian Nagel (2.1.1), John Heilig (2.3.0)	Johannes Hentschel, AN	Tchaikovsky Seasons No.11	No. 11								2018-11-29	3.02	Linux			3.6.2	38-92 (D2-G#6)	1876	1876	xml	https://imslp.org/wiki/Special:ReverseLookup/19125	Tom Schreyer	45-92 (A2-G#6)	Piano (2)	38-75 (D2-D#5)	Piano (2)
MS3	op37a12	176	176	1: -4, 88: 4, 149: -4	1: 3/4	262	2.1.1	Ab	Adrian Nagel	Johannes Hentschel	Tchaikovsky Seasons No. 12	No. 12								2018-11-29	3.02	Linux			3.6.2	39-92 (Eb2-Ab6)	1876	1876	xml	https://imslp.org/wiki/Special:ReverseLookup/19125	Tom Schreyer	56-92 (G#3-Ab6)	Piano (2)	39-75 (Eb2-Eb5)	Piano (2)
